message,freq,data,authors,retweeted_authors
"rt @cittadiniditwtt: .@agidgov ""a breve ci saranno i digital days, per confrontarsi sugli obiettivi digitali del paese"" #pasocial",6,2015-11-17,Francesvivimar,
"rt @cittadiniditwtt: curcio ""stiamo lavorando a policy che renda omogeneo il protocollo di comunicazione emergenze. oggi arricchiamo questo…",6,2015-11-17,belcinque,
"rt @cittadiniditwtt: .@fdicos10 ""esportare l'esperienza #pasocial per fare rete""",6,2015-11-17,alelovari,
"rt @cittadiniditwtt: .@fdicos ""comunicazione #pasocial necessaria non solo per visibilità ente ma soprattutto per dare più servizi ai citta…",6,2015-11-17,belcinque,
"rt @cittadiniditwtt: in #pasocial mai focalizzarsi su un solo social, utilizzare tutti gli strumenti che abbiamo a disposizione!",6,2015-11-17,Francesvivimar,
"rt @cittadiniditwtt: la promozione del territorio si basa sulle immagini, spesso quelle prodotte dai turisti @turismoveneto 
#pasocial",6,2015-11-17,StefyBearr,
"rt @cittadiniditwtt: per fare promozione del territorio e raccontarlo sui social occorre conoscerlo, e bene! @turismoveneto 
#pasocial",6,2015-11-17,ilbisbetico,
rt @cittadiniditwtt: per i musei italiani l'obiettivo è accompagnare sempre più la visita con i nuovi strumenti digitali #pasocial,6,2015-11-17,AdeleMessina,
rt @cittadiniditwtt: per linea editoriale di @miursocial scelte grafiche importanti: semplicità e chiarezza parole fondamentali. #pasocial,6,2015-11-17,romaapiedi,
rt @cittadiniditwtt: si apre il convegno sul #socialmediamanager pubblico. seguite #pasocial per la diretta!,6,2015-11-17,nuppolina,
rt @cnrxexpo: #pasocial oggi si parla del ruolo dei #socialmediamanager nella comunicazione istituzionale.  https://t.co/vpoh9pmw1i,6,2015-11-17,danife75,
rt @dariocafiero2: anche per #pasocial importante diversificare linguaggi a seconda del social: su facebook o twitter stessa news può avere…,6,2015-11-17,SaraPolinari,
"rt @digitalchampita: lavoro, servizi, innovazione: in #agenda a roma stati generali della nuova comunicazione pubblica @agidgov https://t.c…",6,2015-11-17,ardovig,
"rt @fabiazep: ogni settimana un blogger/cittadino che gestisce il canale @twitter di @visit_lazio
la gestione condivisa dei social per una …",6,2015-11-17,AndMarru,
rt @fdicos10: emergenze e social. a #pasocial @comuneparma @comunepo @comunedigenova @comuneditrieste @dpcpat1 protezione civile https://t.…,6,2015-11-11,Ossmeteobargone,
rt @fdicos10: le aziende social per nuova comunicazione pubblica. il 17/11 a #pasocial @bononlau @liviacolare @diegociulli https://t.co/m3s…,6,2015-11-15,visitorcity,
rt @francescaquiri: #pasocial stati generali della nuova comunicazione pubblica: anche @bresciamobilita tra i protagonisti! https://t.co/0x…,6,2015-11-17,MMedeghini,
rt @massimoemme: dopo parigi le persone hanno compreso come social ed hashtags abbiano un utilizzo non solo ludico e lavorativo ma sociale …,6,2015-11-17,ValComm,
rt @mipaafsocial: la forza del #madeinitaly : #mipaaf e @googleitalia per far conoscere prodotti dop e igp #pasocial https://t.co/p2waudw0cz,6,2015-11-17,MAFlumero,
rt @mipaafsocial: 'le pubbliche amministrazioni devono imparare a stare dove sta la gente. e ora ci siamo grazie ai social' @fdicos10 #paso…,6,2015-11-17,visitorcity,
"rt @mipaafsocial: #pasocial 'bisogna essere nella ""piazza globale"" ed esserci al momento giusto' @liviacolare per @twitteritalia",6,2015-11-17,FalcionelliFede,
rt @pieramasta: @alemiglioz : i #socialmedia  non più solo strumento per smanettoni ma vero e proprio strumento di lavoro #pasocial,6,2015-11-17,paolomaiolin,
"rt @pieramasta: @raffapontra di @matera2019 ""non dare da ""mangiare"" ai troll e fare sì che l'entusiasmo social sia fonte propulsiva e virtu…",6,2015-11-17,oraziolucano,
rt @ricciodel: siamo in #tt da 4 ore! grandi @cittadiniditwtt #pasocial grande giornata @fdicos10 @fnicodemo @lindaemme @andmarru @riccacle…,6,2015-11-17,MicheleMorandi,
rt @sandromoriconi: @annamasera ci illumina sulla comunicazione della @montecitorio #pasocial nuove infografiche sul sito della camera http…,6,2015-11-17,gabrivev,
"rt @sbeapverona: #pasocial. è il turno del @mi_bact.
pagina tw in continua crescita. i social sono andati a supporto del sito web https://t…",6,2015-11-17,marianocinzia,
rt @stefanomeloni12: di grande interesse oggi a roma gli stati generali della nuova comunicazione pubblica @italia_sicura @fnicodemo  @tild…,6,2015-11-17,larobiz,
"rt @stellateodonio: #ioabitoisocial iniziativa di @mi_bact per piani di comunicazione digitale dei musei, perché #pasocial passa per condiv…",6,2015-11-17,SbeapVerona,
rt @unitwitts: #pasocial: @annamasera chiude il suo intervento con un'affermazione che ci riguarda tutti: fare i conti con quello che si ha,6,2015-11-17,ardovig,
rt @unitwitts: #pasocial: il social big bang del miur ce lo racconta ora @alemiglioz di @miursocial https://t.co/kimcg8eryv,6,2015-11-17,AleMiglioz,
"rt @alemiglioz: le #pasocial hanno grandi vetrine (siti, social, comunicati) per rendersi visibili. ma devono lavorare in modo integrato",5,2015-11-17,paolomaiolin,
"rt @angelagallo1: siamo ""radioline"" che raccontano il quotidiano #pasocial #socialmediamanager  https://t.co/sbmtcgt1kl",5,2015-11-17,ChiaraPacetti,
"rt @ari_are: @alemiglioz ""social fondamentali per raccontare le tantissime cose che fanno le pa. una comunicazione utile per pa e cittadini…",5,2015-11-17,danteferraris,
"rt @barbarabarilla: a #pasocial @alemiglioz spiega la #socialmediastrategy del @miursocial, informazioni utili, non solo portavoce https://…",5,2015-11-17,SaraPolinari,
"rt @barbarabarilla: francesco di costanzo: la pa deve stare dove sta la gente, con i #social riusciamo a renderli partecipi #pasocial https…",5,2015-11-17,andreaisopi79,
"rt @barbarabarilla: giulia mottura @istat_it: per gestire i social, bisogna essere social, aperti! #pasocial @palazzo_chigi https://t.co/jm…",5,2015-11-17,NicolettaBened2,
"rt @carlo_toscan: .@matteorenzi: ""i social media hanno rivoluzionato la politica molto più di quanto si dice"" #origami (#pasocial?) https:/…",5,2015-11-17,larobiz,
rt @chiarabianchini: curcio: comunicazione fondamentale per la #protciv che si è evoluta non più solo emergenziale ma prima durante e dopo …,5,2015-11-17,belcinque,
rt @chiarabianchini: i turisti prima erano semplice audience ma ora sono parte attiva con cui creare un dialogo e ascoltarli sui social #pa…,5,2015-11-17,AndMarru,
"rt @chiarabianchini: social come lavoro grazie alla figura del social media manager, persona formata ad hoc per la gestione di questi strum…",5,2015-11-17,belcinque,
rt @cittadiniditwtt: .@alemiglioz necessario maggior coordinamento tra realtà di #pasocial in questa direzione andrebbe collaborazione con …,5,2015-11-17,paolomaiolin,
"rt @cittadiniditwtt: alessandra migliozzi @miursocial ""con la svolta social per i ministeri si rafforza il legame reciproco"" #pasocial",5,2015-11-17,L_Mart1,
rt @cittadiniditwtt: anche caterina perniconi di @mipaafsocial afferma la forte necessità di coordinare i lavori #pasocial dei vari ministe…,5,2015-11-17,AndMarru,
rt @cittadiniditwtt: #billofrights consultazione pubblica sulla bozza dei diritti in internet https://t.co/xeb1yuog4z #pasocial @montecitor…,5,2015-11-17,ardovig,
"rt @cittadiniditwtt: .@bononlau ""sui social, gli utenti si fidano di contenuti condivisi da amici. contenuti #pasocial devono essere intere…",5,2015-11-17,MAFlumero,
"rt @cittadiniditwtt: curcio: ""in italia eccellenze nel campo di comunicazione emergenze. necessità e difficoltà di raccordare i protocolli""…",5,2015-11-17,belcinque,
"rt @cittadiniditwtt: .@fioskyna ""#storytelling giornalistico, verificare le notizie è un gesto di responsabilità verso il pubblico, non sem…",5,2015-11-17,L_Mart1,
rt @cittadiniditwtt: gli # creati da @montecitorio #pasocial #opancamera #wikicamera #storiaditalia #cameraincontri #opendata https://t.co/…,5,2015-11-17,nuppolina,
rt @cittadiniditwtt: in diretta su #periscope: il governo alla prova social è il momento di @ubimaggio a #pasocial https://t.co/giksgc0vet,5,2015-11-17,danteferraris,
rt @cittadiniditwtt: i social nella gestione delle emergenze https://t.co/pnfdgvanho #pasocial,5,2015-11-17,larobiz,
rt @cittadiniditwtt: la sfida della comunicazione statistica di canali pubblici sul web è quella di distinguersi per qualità delle info @is…,5,2015-11-17,mgloreto,
"rt @cittadiniditwtt: @mattbiff racconta a #pasocial l' emergenza per la tempesta di vento disastrosa del 5 marzo scorso ""abbiamo ringraziat…",5,2015-11-17,MicheleMorandi,
"rt @cittadiniditwtt: ""#pasocial va oltre l'ufficio stampa, comprende anche #urp e deve basarsi sul concetto di trasparenza"" @marcolaudonio",5,2015-11-17,ValentinaArbagi,
rt @cittadiniditwtt: pericolo dello #storytelling politico è essere smentiti dai fatti #pasocial,5,2015-11-17,MAFlumero,
